"store_id","store_name","account_type","banner_id","banner_name","account_id","account_name","street","postalcode","province","region","city","location_type","latitude","longitude"
5775,Friendly Stranger - Oshawa - Gibb St,Major Account,420,Friendly Stranger,1,Fika Group,"491 Gibb Street unit 1",L1J 1Z4,Ontario,GTA,Oshawa,Urban,43.885944,-78.87908
2072,Friendly Stranger - Oshawa | Ritson Rd.,Major Account,420,Friendly Stranger,1,Fika Group,"204 Ritson Rd N Suite C5.5",L1G 0B2,Ontario,GTA,Oshawa,Urban,43.90437,-78.85711
5398,Friendly Stranger - Scarborough | Cliffside,Major Account,420,Friendly Stranger,1,Fika Group,"2465 Kingston Road 110",M1N 1V4,Ontario,Toronto,Toronto,Urban,43.709183,-79.24834
5590,Friendly Stranger - Scarborough | Morningside,Major Account,420,Friendly Stranger,1,Fika Group,"797 Milner Avenue Unit 200",M1B 3C3,Ontario,Toronto,Toronto,Urban,43.798985,-79.20154
2073,Friendly Stranger - Toronto | Church St.,Major Account,420,Friendly Stranger,1,Fika Group,"501 Church St.",M4Y 2C6,Ontario,Toronto,Toronto,Urban,43.66563,-79.38058
1153,Friendly Stranger - Toronto | Danforth Ave.,Major Account,420,Friendly Stranger,1,Fika Group,"283 Danforth Ave",M4K 1N2,Ontario,Toronto,Toronto,Urban,43.67687,-79.35435
3536,Ganja Garden - Brantford,Independent,1142,Ganja Garden,1442,Ganja Garden,"18 Market St Unit A",N3T 2Z5,Ontario,West,Brantford,Urban,43.13952,-80.26385
3346,Ganja Garden - Kitchener,Independent,1142,Ganja Garden,1442,Ganja Garden,"2399 Kingsway Dr Unit 5",N2C1A5,Ontario,West,Kitchener,Urban,43.43279,-80.44862
4943,Ganjika House Cherry Hill,Major Account,102,Ganjika House,1,Fika Group,"801 Dundas St E",L4Y 4G9,Ontario,GTA,Dixie,Urban,43.597782,-79.598114
133,Ganjika House Main St,Major Account,102,Ganjika House,1,Fika Group,"186 Main St. S",L6W 2E2,Ontario,GTA,Brampton,Urban,43.67642,-79.74644
3134,Ganjika House Oshawa,Major Account,102,Ganjika House,1,Fika Group,"575 Thornton Rd N Unit 7",L1J8L5,Ontario,GTA,Oshawa,Urban,43.908016,-78.89981
2294,Ganjika House Queen And Airport,Major Account,102,Ganjika House,1,Fika Group,"2880 Queen St E Unit 8",L6S 6E8,Ontario,GTA,Brampton,Urban,43.74257,-79.69875
3301,Garden City Cannabis Co - For Erie,Multi-Unit,536,Garden City Cannabis Co,1359,Garden City Cannabis Co,"310 Garrison Rd Unit E-02",L2A1M7,Ontario,GTA,Fort Erie,Urban,42.904884,-78.92722
3708,Garden City Cannabis Co - Main St,Multi-Unit,536,Garden City Cannabis Co,1359,Garden City Cannabis Co,"469 E Main St",L3B 3X7,Ontario,GTA,Welland,Urban,42.993332,-79.23669
2350,Garden City Cannabis Co - Niagara St,Multi-Unit,536,Garden City Cannabis Co,1359,Garden City Cannabis Co,"623 Niagara Street",L3C 1L9,Ontario,GTA,Welland,Urban,43.00855,-79.25123
2295,Garden City Cannabis Co - St. Catharine's,Multi-Unit,536,Garden City Cannabis Co,1359,Garden City Cannabis Co,"111 Fourth Ave Unit 9",L2S 3P5,Ontario,GTA,St. Catharines,Urban,43.15654,-79.26214
1711,Garden of Eden - Toronto,Independent,1144,Garden of Eden,388,Garden of Eden,"1744 Jane Street",M9N 2S9,Ontario,Toronto,Toronto,Urban,43.70476,-79.50456
2611,Gather And Grow Recreational Cannabis,Independent,762,Gather And Grow Recreational Cannabis,1119,Gather And Grow Recreational Cannabis,"6179 Perth St Unit 220",K0A 2Z0,Ontario,East,Richmond,Rural,45.19298,-75.84187
2613,Giggle Leaf - Parry Sound,Independent,882,Giggle Leaf,1593,Giggle Leaf,"1 Horseshoe Lake Road",P2A 2W8,Ontario,North,Parry Sound,Urban,45.306274,-79.89436
134,Giggles Cannabis - Hamilton,Independent,542,Giggles Cannabis Company,1255,Giggles Cannabis Company,"163 Main Street West",L8P 1J1,Ontario,GTA,Hamilton,Urban,43.2569,-79.87662
3415,Giggles Cannabis - Kingston,Independent,542,Giggles Cannabis Company,1255,Giggles Cannabis Company,"652 Princess St Suite 108",K7L1E5,Ontario,East,Kingston,Urban,44.236958,-76.502304
2614,Go Hi Ltd,Independent,884,Go Hi Ltd,1462,Go Hi Ltd,"18 Satterly Road",M9L 1E8,Ontario,Toronto,North York,Urban,43.75883,-79.57033
3360,Golden Harvest,Independent,1420,Golden Harvest,1537,Golden Harvest,"71 17 Hwy W",P1B8G5,Ontario,North,North Bay,Urban,46.333572,-79.51408
1415,Golden Tree Cannabis - Brampton,Independent,1168,Golden Tree Cannabis,402,Golden Tree Cannabis,"10671 Chinguacousy Road",L7A 3E9,Ontario,GTA,Brampton,Urban,43.697918,-79.823944
5063,Golden Tree Cannabis - Palmerston,Independent,1168,Golden Tree Cannabis,402,Golden Tree Cannabis,"214 Main St W Unit 2",N0G 2P0,Ontario,West,Palmerston,Rural,43.833946,-80.84993
36,Golden Tree Cannabis - Shelburne,Independent,1168,Golden Tree Cannabis,402,Golden Tree Cannabis,"735 Industrial Road",L0N 1S4,Ontario,GTA,Shelburne,Rural,44.08268,-80.18901
2161,Good Cookie Highland Creek,Independent,449,Good Cookie,647,Good Cookie,"371 Old Kingston Rd Suite B",M1C1B7,Ontario,Toronto,Scarborough,Urban,43.78337,-79.16982
303,Good Cookie Malvern,Independent,449,Good Cookie,647,Good Cookie,"5741 Finch Ave E Unit 2",M1B 2G5,Ontario,Toronto,Scarborough,Urban,43.815063,-79.23276
304,Good Cookie Town Center,Independent,449,Good Cookie,647,Good Cookie,"1595 Ellesmere Rd",M1P 2Y3,Ontario,Toronto,Scarborough,Urban,43.77151,-79.2527
3123,Good Nature Cannabis ,Independent,1337,Good Nature Cannabis ,1586,Good Nature Cannabis ,"1234 Merivale Rd Suite 5",K2C4C3,Ontario,East,Ottawa,Urban,45.37059,-75.733315
440,Gormley Cannabis,Independent,754,Gormley Cannabis,382,Gormley Cannabis,"12275 Woodbine Ave.",L0H 1G0,Ontario,GTA,Whitchurch-Stouffville,Rural,43.94254,-79.37814
3100,Graffiti Cannabis Co.,Independent,1284,Graffiti Cannabis Co.,1112,Graffiti Cannabis Co.,"393 Yonge St Unit 2",L4N4C9,Ontario,GTA,Barrie,Urban,44.3672,-79.66283
3305,Gram'S Smokey Dreams,Independent,1407,Gram'S Smokey Dreams,221,Gram'S Smokey Dreams,"2 Front Street",P0T2J0,Ontario,North,Nipigon,Rural,49.014038,-88.26199
2055,Grand Cannabis - Dunnville,Multi-Unit,436,Grand Cannabis,1248,Grand Cannabis,"217 Broad Street East",N1A 1G1,Ontario,West,Dunnville,Urban,42.90443,-79.62015
281,Grand Cannabis - Fonthill,Multi-Unit,436,Grand Cannabis,1248,Grand Cannabis,"1811 Merrittville Highway",L0S 1E6,Ontario,GTA,Fonthill,Rural,43.05933,-79.2501
2121,Grand Cannabis - Georgetown,Multi-Unit,436,Grand Cannabis,1248,Grand Cannabis,"374 Guelph Street",L7G 4B6,Ontario,GTA,Georgetown,Urban,43.64859,-79.8802
5756,Grand Cannabis - Port Dover,Multi-Unit,436,Grand Cannabis,1248,Grand Cannabis,"511 Main St Unit 1",N0A 1N0,Ontario,West,Port Dover,Rural,42.78901,-80.20716
282,Grand Cannabis - St. Catharines,Multi-Unit,436,Grand Cannabis,1248,Grand Cannabis,"225 St. Paul St W Unit 4",L2S 2E2,Ontario,GTA,St. Catharines,Urban,43.1451,-79.25885
199,Grand Cannabis - Tillsonburg,Multi-Unit,436,Grand Cannabis,1248,Grand Cannabis,B-523 Broadway St,N4G 3S8,Ontario,West,Tillsonburg,Urban,42.87523,-80.74362
3286,Grasshopper Cannabis - Port Hope,Independent,1398,Grasshopper Cannabis,55,Grasshopper Cannabis,"52 Walton St",L1A1N1,Ontario,GTA,Port Hope,Urban,43.95152,-78.29346
5274,Grassroots Co - Azilda,Independent,2435,Grass Roots Co,18,Grass Roots Co,"93 Notre Dame Avenue West",P0M,Ontario,North,Azilda,Rural,46.55938,-81.13044
2352,Grassroots Co - Sudbury,Independent,2435,Grass Roots Co,18,Grass Roots Co,"1113 Lasalle Boulevard",P3A 1Y3,Ontario,North,Sudbury,Urban,46.52179,-80.95391
2353,Grass Roots - Windsor,Independent,973,Grass Roots,969,Grass Roots,"398 University Ave W",N9A 5P6,Ontario,West,Windsor,Urban,42.31683,-83.04306
135,Grass Station,Independent,544,Grass Station,346,Grass Station,"53 Dundas Street East",L0R 2H0,Ontario,GTA,Waterdown,Rural,43.31593,-79.914
3253,Green Apple Cannabis,Independent,782,Green Apple Cannabis,848,Green Apple Cannabis,"51 Commercial Dr",P0A1C0,Ontario,North,Burks Falls,Rural,45.60834,-79.40318
3157,Greener Grass Cannabis,Independent,1195,Greener Grass Cannabis,763,Greener Grass Cannabis,"75 King St",L2R3H6,Ontario,GTA,St. Catharines,Urban,43.158413,-79.24642
5385,Green Garden Cannabis - Brantford,Independent,2314,Green Garden Cannabis,1677,Green Garden Cannabis,"750 Colborne Street 5",N3S 3S1,Ontario,West,Brantford,Urban,43.143547,-80.229645
442,Green Grove - Alliston,Independent,896,Green Grove,928,Green Grove,"70 Victoria Street East",L9R 1L2,Ontario,GTA,Alliston,Urban,44.15491,-79.8662
3491,Green Grove - Erin,Independent,896,Green Grove,928,Green Grove,"2 Thompson Cres Unit 6 Ss 1",N0B1T0,Ontario,West,Erin,Rural,43.781162,-80.07713
3707,Greenhouse,Independent,902,Greenhouse,1185,Greenhouse,"1216 Upper Wentworth St",L9A 4W2,Ontario,GTA,Hamilton,Urban,43.21039,-79.86795
3202,Green King Cannabis - Dundas,Independent,1341,Green King Cannabis,406,Green King Cannabis,"236 Governors Rd",L9H3K2,Ontario,GTA,Dundas,Urban,43.26037,-79.967255
4754,Green King Cannabis - Port Colborne,Independent,1341,Green King Cannabis,406,Green King Cannabis,"111 Clarence St Unit A 1",L3K 3G2,Ontario,GTA,Port Colborne,Urban,42.88627,-79.25457
5340,GreenLeaf Cannabis - Haliburton,Independent,824,Greenleaf Cannabis,1486,Greenleaf Cannabis,"195 Highland Street",K0M 1S0,Ontario,East,Haliburton,Rural,45.0472,-78.50682
530,Greenleaf Cannabis - Lindsay,Independent,824,Greenleaf Cannabis,1486,Greenleaf Cannabis,"351 Kent Street West",K9V 2Z7,Ontario,East,Lindsay,Urban,44.35111,-78.754776
2166,Green Light Cannabis Shop - St. Thomas,Independent,984,Green Light Cannabis Shop,1103,Green Light Cannabis Shop,"1-188 Sunset D",N5R 2B9,Ontario,West,St. Thomas,Urban,42.76004,-81.19592
5168,Greenline Cannabis - Scarborough,Independent,2234,GREENLINE CANNABIS,844,GREENLINE CANNABIS,"3300 Lawrence Ave E",M1H 1A6,Ontario,Toronto,Scarborough,Urban,43.758045,-79.23591
5055,Green Mantle Cannabis,Independent,2182,Green Mantle Cannabis,1712,Green Mantle Cannabis,"4744 Highway 11/17",P0T 1W0,Ontario,North,Kakabeka Falls,Rural,48.40202,-89.60778
5470,Green Market Cannabis - Etobicoke,Independent,1343,Green Market ,374,Green Market ,"190 Queens Plate Dr",M9W 6Y9,Ontario,Toronto,Etobicoke,Urban,43.719467,-79.59441
3130,Green Market Cannabis - Keele,Independent,1343,Green Market ,374,Green Market ,"2737 Keele St Suite 29",M3M2E9,Ontario,Toronto,North York,Urban,43.725582,-79.480576
2163,Green Merchant - Danforth,Independent,478,Green Merchant,387,Green Merchant,"294 Danforth Ave",M4K 1N6,Ontario,Toronto,Toronto,Urban,43.67738,-79.35415
1779,Green Merchant - Scarborough,Independent,478,Green Merchant,387,Green Merchant,"33 Lapsley Road",M1B 1K1,Ontario,Toronto,Scarborough,Urban,43.79574,-79.22696
3170,Greenstone Cannabis Shop,Independent,1262,Greenstone Cannabis Shop,812,Greenstone Cannabis Shop,"506 Main St",P0T 1M0,Ontario,North,Geraldton,Rural,49.72178,-86.94975
3461,Greentown Cannabis Discount Hut - 1519 Drouillard Rd,Multi-Unit,1436,Greentown Cannabis Discount Hut,1200,Greentown Cannabis Discount Hut,"1519 Drouillard Rd",N8Y2S1,Ontario,West,Windsor,Urban,42.31173,-82.994125
4761,Greentown Cannabis Discount Hut - 3580 Tecumseh Rd E #4,Multi-Unit,1436,Greentown Cannabis Discount Hut,1200,Greentown Cannabis Discount Hut,"3580 Tecumseh Rd E #4",N3W 0A5,Ontario,West,East Windsor,Urban,42.30524,-82.98099
1583,Greentown Cannabis Discount Hut - LaSalle,Multi-Unit,1436,Greentown Cannabis Discount Hut,1200,Greentown Cannabis Discount Hut,"5994 Malden Road",N9H 1S4,Ontario,West,LaSalle,Urban,42.244972,-83.06078
445,Greentown Cannabis Discount Hut - Windsor,Multi-Unit,1436,Greentown Cannabis Discount Hut,1200,Greentown Cannabis Discount Hut,"74 Chatham St W",N9A 5M6,Ontario,West,Windsor,Urban,42.31829,-83.04034
4996,GREEN VALLEY CANNABIS COMPANY,Independent,2173,GREEN VALLEY CANNABIS COMPANY,599,GREEN VALLEY CANNABIS COMPANY,"115 John St N",K7S 2N5,Ontario,East,Arnprior,Urban,45.433666,-76.35401
1399,Green Vibe - Annex,Independent,478,Green Merchant,387,Green Merchant,"461 Bloor Street West",M5S 1X9,Ontario,Toronto,Toronto,Urban,43.66598,-79.40649
2619,Green World,Independent,822,Green World,1253,Green World,"1901 Harwood Avenue North",L1T 0C5,Ontario,GTA,Ajax,Urban,43.895313,-79.04215
3279,Groove Cannabis Co.,Independent,826,Groove Cannabis Co. Inc.,1578,Groove Cannabis Co. Inc.,"6327 County Rd 2 Unit 3",K0C2C0,Ontario,East,South Lancaster ,Rural,45.133324,-74.49354
